rok;mesic;sezona;druh;pocet
1990;12;1990/1991;Myotis mystacinus;1
1991;02;1990/1991;Myotis mystacinus;0
1990;12;1990/1991;Myotis brandtii;0
1991;02;1990/1991;Myotis brandtii;0
1990;12;1990/1991;Barbastella barbastellus;0
1991;02;1990/1991;Barbastella barbastellus;2
1990;12;1990/1991;Eptesicus serotinus;0
1991;02;1990/1991;Eptesicus serotinus;0
1990;12;1990/1991;Myotis emarginatus;0
1991;02;1990/1991;Myotis emarginatus;0
1990;12;1990/1991;Myotis bechsteinii;0
1991;02;1990/1991;Myotis bechsteinii;0
1991;12;1991/1992;celkem;30
1992;02;1991/1992;celkem;68
1991;12;1991/1992;Myotis nattereri;9
1992;02;1991/1992;Myotis nattereri;31
1991;12;1991/1992;Myotis daubentonii;4
1992;02;1991/1992;Myotis daubentonii;10
1991;12;1991/1992;Myotis myotis;2
1992;02;1991/1992;Myotis myotis;12
1991;12;1991/1992;Plecotus auritus;15
1992;02;1991/1992;Plecotus auritus;14
1991;12;1991/1992;Myotis mystacinus;0
1992;02;1991/1992;Myotis mystacinus;0
1991;12;1991/1992;Myotis brandtii;0
1992;02;1991/1992;Myotis brandtii;0
1991;12;1991/1992;Barbastella barbastellus;0
1992;02;1991/1992;Barbastella barbastellus;1
1991;12;1991/1992;Eptesicus serotinus;0
1992;02;1991/1992;Eptesicus serotinus;0
1991;12;1991/1992;Myotis emarginatus;0
1992;02;1991/1992;Myotis emarginatus;0
1991;12;1991/1992;Myotis bechsteinii;0
1992;02;1991/1992;Myotis bechsteinii;0
1992;12;1992/1993;celkem;27
1993;02;1992/1993;celkem;78
1992;12;1992/1993;Myotis nattereri;12
1993;02;1992/1993;Myotis nattereri;47
1992;12;1992/1993;Myotis daubentonii;6
1993;02;1992/1993;Myotis daubentonii;6
1992;12;1992/1993;Myotis myotis;5
1993;02;1992/1993;Myotis myotis;15
1992;12;1992/1993;Plecotus auritus;4
1993;02;1992/1993;Plecotus auritus;10
1992;12;1992/1993;Myotis mystacinus;0
1993;02;1992/1993;Myotis mystacinus;0
1992;12;1992/1993;Myotis brandtii;0
1993;02;1992/1993;Myotis brandtii;0
1992;12;1992/1993;Barbastella barbastellus;0
1993;02;1992/1993;Barbastella barbastellus;0
1992;12;1992/1993;Eptesicus serotinus;0
1993;02;1992/1993;Eptesicus serotinus;0
1992;12;1992/1993;Myotis emarginatus;0
1993;02;1992/1993;Myotis emarginatus;0
1992;12;1992/1993;Myotis bechsteinii;0
1993;02;1992/1993;Myotis bechsteinii;0
1993;12;1993/1994;celkem;20
1994;02;1993/1994;celkem;101
1993;12;1993/1994;Myotis nattereri;6
1994;02;1993/1994;Myotis nattereri;57
1993;12;1993/1994;Myotis daubentonii;3
1994;02;1993/1994;Myotis daubentonii;9
1993;12;1993/1994;Myotis myotis;6
1994;02;1993/1994;Myotis myotis;16
1993;12;1993/1994;Plecotus auritus;5
1994;02;1993/1994;Plecotus auritus;16
1993;12;1993/1994;Myotis mystacinus;0
1994;02;1993/1994;Myotis mystacinus;0
1993;12;1993/1994;Myotis brandtii;0
1994;02;1993/1994;Myotis brandtii;0
1993;12;1993/1994;Barbastella barbastellus;0
1994;02;1993/1994;Barbastella barbastellus;0
1993;12;1993/1994;Eptesicus serotinus;0
1994;02;1993/1994;Eptesicus serotinus;3
1993;12;1993/1994;Myotis emarginatus;0
1994;02;1993/1994;Myotis emarginatus;0
1993;12;1993/1994;Myotis bechsteinii;0
1994;02;1993/1994;Myotis bechsteinii;0
1994;12;1994/1995;celkem;32
1995;02;1994/1995;celkem;67
1994;12;1994/1995;Myotis nattereri;19
1995;02;1994/1995;Myotis nattereri;46
1994;12;1994/1995;Myotis daubentonii;1
1995;02;1994/1995;Myotis daubentonii;6
1994;12;1994/1995;Myotis myotis;3
1995;02;1994/1995;Myotis myotis;4
1994;12;1994/1995;Plecotus auritus;8
1995;02;1994/1995;Plecotus auritus;11
1994;12;1994/1995;Myotis mystacinus;0
1995;02;1994/1995;Myotis mystacinus;0
1994;12;1994/1995;Myotis brandtii;0
1995;02;1994/1995;Myotis brandtii;0
1994;12;1994/1995;Barbastella barbastellus;0
1995;02;1994/1995;Barbastella barbastellus;0
1994;12;1994/1995;Eptesicus serotinus;1
1995;02;1994/1995;Eptesicus serotinus;0
1994;12;1994/1995;Myotis emarginatus;0
1995;02;1994/1995;Myotis emarginatus;0
1994;12;1994/1995;Myotis bechsteinii;0
1995;02;1994/1995;Myotis bechsteinii;0
1995;12;1995/1996;celkem;0
1996;02;1995/1996;celkem;39
1995;12;1995/1996;Myotis nattereri;0
1996;02;1995/1996;Myotis nattereri;24
1995;12;1995/1996;Myotis daubentonii;0
1996;02;1995/1996;Myotis daubentonii;2
1995;12;1995/1996;Myotis myotis;0
1996;02;1995/1996;Myotis myotis;6
1995;12;1995/1996;Plecotus auritus;0
1996;02;1995/1996;Plecotus auritus;5
1995;12;1995/1996;Myotis mystacinus;0
1996;02;1995/1996;Myotis mystacinus;0
1995;12;1995/1996;Myotis brandtii;0
1996;02;1995/1996;Myotis brandtii;0
1995;12;1995/1996;Barbastella barbastellus;0
1996;02;1995/1996;Barbastella barbastellus;1
1995;12;1995/1996;Eptesicus serotinus;0
1996;02;1995/1996;Eptesicus serotinus;1
1995;12;1995/1996;Myotis emarginatus;0
1996;02;1995/1996;Myotis emarginatus;0
1995;12;1995/1996;Myotis bechsteinii;0
1996;02;1995/1996;Myotis bechsteinii;0
1996;12;1996/1997;celkem;29
1997;02;1996/1997;celkem;57
1996;12;1996/1997;Myotis nattereri;9
1997;02;1996/1997;Myotis nattereri;30
1996;12;1996/1997;Myotis daubentonii;3
1997;02;1996/1997;Myotis daubentonii;7
1996;12;1996/1997;Myotis myotis;7
1997;02;1996/1997;Myotis myotis;15
1996;12;1996/1997;Plecotus auritus;9
1997;02;1996/1997;Plecotus auritus;5
1996;12;1996/1997;Myotis mystacinus;0
1997;02;1996/1997;Myotis mystacinus;0
1996;12;1996/1997;Myotis brandtii;0
1997;02;1996/1997;Myotis brandtii;0
1996;12;1996/1997;Barbastella barbastellus;0
1997;02;1996/1997;Barbastella barbastellus;0
1996;12;1996/1997;Eptesicus serotinus;1
1997;02;1996/1997;Eptesicus serotinus;0
1996;12;1996/1997;Myotis emarginatus;0
1997;02;1996/1997;Myotis emarginatus;0
1996;12;1996/1997;Myotis bechsteinii;0
1997;02;1996/1997;Myotis bechsteinii;0
1997;12;1997/1998;celkem;0
1998;02;1997/1998;celkem;41
1997;12;1997/1998;Myotis nattereri;0
1998;02;1997/1998;Myotis nattereri;27
1997;12;1997/1998;Myotis daubentonii;0
1998;02;1997/1998;Myotis daubentonii;3
1997;12;1997/1998;Myotis myotis;0
1998;02;1997/1998;Myotis myotis;8
1997;12;1997/1998;Plecotus auritus;0
1998;02;1997/1998;Plecotus auritus;2
1997;12;1997/1998;Myotis mystacinus;0
1998;02;1997/1998;Myotis mystacinus;0
1997;12;1997/1998;Myotis brandtii;0
1998;02;1997/1998;Myotis brandtii;0
1997;12;1997/1998;Barbastella barbastellus;0
1998;02;1997/1998;Barbastella barbastellus;0
1997;12;1997/1998;Eptesicus serotinus;0
1998;02;1997/1998;Eptesicus serotinus;1
1997;12;1997/1998;Myotis emarginatus;0
1998;02;1997/1998;Myotis emarginatus;0
1997;12;1997/1998;Myotis bechsteinii;0
1998;02;1997/1998;Myotis bechsteinii;0
1998;12;1998/1999;celkem;44
1999;02;1998/1999;celkem;86
1998;12;1998/1999;Myotis nattereri;17
1999;02;1998/1999;Myotis nattereri;35
1998;12;1998/1999;Myotis daubentonii;6
1999;02;1998/1999;Myotis daubentonii;7
1998;12;1998/1999;Myotis myotis;8
1999;02;1998/1999;Myotis myotis;24
1998;12;1998/1999;Plecotus auritus;13
1999;02;1998/1999;Plecotus auritus;20
1998;12;1998/1999;Myotis mystacinus;0
1999;02;1998/1999;Myotis mystacinus;0
1998;12;1998/1999;Myotis brandtii;0
1999;02;1998/1999;Myotis brandtii;0
1998;12;1998/1999;Barbastella barbastellus;0
1999;02;1998/1999;Barbastella barbastellus;0
1998;12;1998/1999;Eptesicus serotinus;0
1999;02;1998/1999;Eptesicus serotinus;0
1998;12;1998/1999;Myotis emarginatus;0
1999;02;1998/1999;Myotis emarginatus;0
1998;12;1998/1999;Myotis bechsteinii;0
1999;02;1998/1999;Myotis bechsteinii;0
1999;12;1999/2000;celkem;26
2000;02;1999/2000;celkem;56
1999;12;1999/2000;Myotis nattereri;8
2000;02;1999/2000;Myotis nattereri;25
1999;12;1999/2000;Myotis daubentonii;3
2000;02;1999/2000;Myotis daubentonii;7
1999;12;1999/2000;Myotis myotis;6
2000;02;1999/2000;Myotis myotis;18
1999;12;1999/2000;Plecotus auritus;9
2000;02;1999/2000;Plecotus auritus;3
1999;12;1999/2000;Myotis mystacinus;0
2000;02;1999/2000;Myotis mystacinus;1
1999;12;1999/2000;Myotis brandtii;0
2000;02;1999/2000;Myotis brandtii;0
1999;12;1999/2000;Barbastella barbastellus;0
2000;02;1999/2000;Barbastella barbastellus;0
1999;12;1999/2000;Eptesicus serotinus;0
2000;02;1999/2000;Eptesicus serotinus;2
1999;12;1999/2000;Myotis emarginatus;0
2000;02;1999/2000;Myotis emarginatus;0
1999;12;1999/2000;Myotis bechsteinii;0
2000;02;1999/2000;Myotis bechsteinii;0
2000;12;2000/2001;celkem;38
2001;02;2000/2001;celkem;72
2000;12;2000/2001;Myotis nattereri;13
2001;02;2000/2001;Myotis nattereri;38
2000;12;2000/2001;Myotis daubentonii;4
2001;02;2000/2001;Myotis daubentonii;6
2000;12;2000/2001;Myotis myotis;7
2001;02;2000/2001;Myotis myotis;21
2000;12;2000/2001;Plecotus auritus;12
2001;02;2000/2001;Plecotus auritus;7
2000;12;2000/2001;Myotis mystacinus;0
2001;02;2000/2001;Myotis mystacinus;0
2000;12;2000/2001;Myotis brandtii;0
2001;02;2000/2001;Myotis brandtii;0
2000;12;2000/2001;Barbastella barbastellus;0
2001;02;2000/2001;Barbastella barbastellus;0
2000;12;2000/2001;Eptesicus serotinus;2
2001;02;2000/2001;Eptesicus serotinus;0
2000;12;2000/2001;Myotis emarginatus;0
2001;02;2000/2001;Myotis emarginatus;0
2000;12;2000/2001;Myotis bechsteinii;0
2001;02;2000/2001;Myotis bechsteinii;0
2001;12;2001/2002;celkem;45
2002;02;2001/2002;celkem;94
2001;12;2001/2002;Myotis nattereri;13
2002;02;2001/2002;Myotis nattereri;49
2001;12;2001/2002;Myotis daubentonii;3
2002;02;2001/2002;Myotis daubentonii;8
2001;12;2001/2002;Myotis myotis;11
2002;02;2001/2002;Myotis myotis;25
2001;12;2001/2002;Plecotus auritus;17
2002;02;2001/2002;Plecotus auritus;9
2001;12;2001/2002;Myotis mystacinus;0
2002;02;2001/2002;Myotis mystacinus;0
2001;12;2001/2002;Myotis brandtii;0
2002;02;2001/2002;Myotis brandtii;0
2001;12;2001/2002;Barbastella barbastellus;0
2002;02;2001/2002;Barbastella barbastellus;0
2001;12;2001/2002;Eptesicus serotinus;1
2002;02;2001/2002;Eptesicus serotinus;3
2001;12;2001/2002;Myotis emarginatus;0
2002;02;2001/2002;Myotis emarginatus;0
2001;12;2001/2002;Myotis bechsteinii;0
2002;02;2001/2002;Myotis bechsteinii;0
2002;12;2002/2003;celkem;58
2003;02;2002/2003;celkem;114
2002;12;2002/2003;Myotis nattereri;17
2003;02;2002/2003;Myotis nattereri;65
2002;12;2002/2003;Myotis daubentonii;4
2003;02;2002/2003;Myotis daubentonii;3
2002;12;2002/2003;Myotis myotis;18
2003;02;2002/2003;Myotis myotis;32
2002;12;2002/2003;Plecotus auritus;17
2003;02;2002/2003;Plecotus auritus;13
2002;12;2002/2003;Myotis mystacinus;0
2003;02;2002/2003;Myotis mystacinus;0
2002;12;2002/2003;Myotis brandtii;0
2003;02;2002/2003;Myotis brandtii;0
2002;12;2002/2003;Barbastella barbastellus;1
2003;02;2002/2003;Barbastella barbastellus;0
2002;12;2002/2003;Eptesicus serotinus;1
2003;02;2002/2003;Eptesicus serotinus;1
2002;12;2002/2003;Myotis emarginatus;0
2003;02;2002/2003;Myotis emarginatus;0
2002;12;2002/2003;Myotis bechsteinii;0
2003;02;2002/2003;Myotis bechsteinii;0
2003;12;2003/2004;celkem;0
2004;02;2003/2004;celkem;79
2003;12;2003/2004;Myotis nattereri;0
2004;02;2003/2004;Myotis nattereri;44
2003;12;2003/2004;Myotis daubentonii;0
2004;02;2003/2004;Myotis daubentonii;3
2003;12;2003/2004;Myotis myotis;0
2004;02;2003/2004;Myotis myotis;22
2003;12;2003/2004;Plecotus auritus;0
2004;02;2003/2004;Plecotus auritus;7
2003;12;2003/2004;Myotis mystacinus;0
2004;02;2003/2004;Myotis mystacinus;0
2003;12;2003/2004;Myotis brandtii;0
2004;02;2003/2004;Myotis brandtii;0
2003;12;2003/2004;Barbastella barbastellus;0
2004;02;2003/2004;Barbastella barbastellus;2
2003;12;2003/2004;Eptesicus serotinus;0
2004;02;2003/2004;Eptesicus serotinus;1
2003;12;2003/2004;Myotis emarginatus;0
2004;02;2003/2004;Myotis emarginatus;0
2003;12;2003/2004;Myotis bechsteinii;0
2004;02;2003/2004;Myotis bechsteinii;0
2004;12;2004/2005;celkem;0
2005;02;2004/2005;celkem;90
2004;12;2004/2005;Myotis nattereri;0
2005;02;2004/2005;Myotis nattereri;42
2004;12;2004/2005;Myotis daubentonii;0
2005;02;2004/2005;Myotis daubentonii;7
2004;12;2004/2005;Myotis myotis;0
2005;02;2004/2005;Myotis myotis;28
2004;12;2004/2005;Plecotus auritus;0
